City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.6145,-37.6368,17.73,94,100,7.7,GL,2022-01-17 13:42:12
1,Chukhloma,58.7525,42.6825,22.06,95,100,9.33,RU,2022-01-17 13:42:13
2,Busselton,-33.65,115.3333,76.05,47,10,17.09,AU,2022-01-17 13:42:14
3,Puerto Ayora,-0.7393,-90.3518,73.06,83,70,5.41,EC,2022-01-17 13:42:14
4,Isangel,-19.55,169.2667,77.18,75,74,9.86,VU,2022-01-17 13:42:15
5,Cidreira,-30.1811,-50.2056,82.78,71,100,5.53,BR,2022-01-17 13:42:16
6,Chuka,-0.3332,37.6459,68.95,77,94,1.39,KE,2022-01-17 13:42:17
7,Geraldton,-28.7667,114.6,73.81,78,40,17.27,AU,2022-01-17 13:42:18
8,Vaini,-21.2,-175.2,80.58,78,43,17.4,TO,2022-01-17 13:42:19
9,Toora-Khem,52.4675,96.11,7.21,97,100,1.21,RU,2022-01-17 13:42:19
10,Conceicao Do Araguaia,-8.2578,-49.2647,78.17,84,93,3.13,BR,2022-01-17 13:42:20
11,Hilo,19.7297,-155.09,68.25,83,0,6.91,US,2022-01-17 13:42:21
12,Lagoa,39.05,-27.9833,57.76,68,100,9.13,PT,2022-01-17 13:42:21
13,Kyabe,9.4515,18.9449,91.89,11,95,6.44,TD,2022-01-17 13:42:22
14,East London,-33.0153,27.9116,79.74,78,40,11.5,ZA,2022-01-17 13:42:22
15,Kapaa,22.0752,-159.319,69.78,75,100,1.01,US,2022-01-17 13:42:23
16,Khatanga,71.9667,102.5,-21.05,95,10,4.76,RU,2022-01-17 13:42:24
17,Kodiak,57.79,-152.4072,20.71,79,0,5.75,US,2022-01-17 13:42:24
18,Bengkulu,-3.8004,102.2655,78.35,85,100,3.38,ID,2022-01-17 13:42:25
19,Coffs Harbour,-30.3,153.1333,77.13,85,40,9.22,AU,2022-01-17 13:42:27
20,Fortuna,40.5982,-124.1573,40.12,100,0,0.0,US,2022-01-17 13:42:27
21,Bluff,-46.6,168.3333,60.8,87,5,2.93,NZ,2022-01-17 13:42:28
22,Yicheng,31.3705,119.8703,45.81,73,100,7.81,CN,2022-01-17 13:42:29
23,Longyearbyen,78.2186,15.6401,6.64,66,75,10.36,SJ,2022-01-17 13:42:30
24,Cabo San Lucas,22.8909,-109.9124,69.51,85,0,9.22,MX,2022-01-17 13:39:03
25,Punta Arenas,-53.15,-70.9167,48.31,43,40,18.41,CL,2022-01-17 13:40:13
26,Esperance,-33.8667,121.9,64.24,72,2,19.37,AU,2022-01-17 13:42:31
27,High Rock,26.6208,-78.2833,64.42,65,99,23.64,BS,2022-01-17 13:42:32
28,Albany,42.6001,-73.9662,37.27,90,99,1.01,US,2022-01-17 13:42:33
29,Novo Oriente,-5.5344,-40.7742,87.75,45,2,7.29,BR,2022-01-17 13:42:33
30,Qaanaaq,77.484,-69.3632,-12.98,55,0,9.48,GL,2022-01-17 13:42:34
31,Chuy,-33.6971,-53.4616,82.18,66,59,11.34,UY,2022-01-17 13:42:35
32,Barrow,71.2906,-156.7887,-9.38,70,100,12.66,US,2022-01-17 13:42:36
33,Hobart,-42.8794,147.3294,60.66,55,58,8.05,AU,2022-01-17 13:42:37
34,Butaritari,3.0707,172.7902,82.11,77,48,16.33,KI,2022-01-17 13:42:37
